Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
102610;56881;Cygnus columbianus;mindre sångsvan;Art;53320;Brackvatten (B) - Har betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse;NA;
100045;56886;Cygnus cygnus;sångsvan;Art;1075059;Jordbrukslandskap (J) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Brackvatten (B) - Har betydelse, Havsstrand (H) - Har betydelse, Marin miljö (M) - Har betydelse;LC;
100019;56898;Branta leucopsis;vitkindad gås;Art;481826;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Brackvatten (B) - Har betydelse, Sötvatten (L) - Har betydelse, Våtmark (V) - Har betydelse;LC;
100008;56919;Anser erythropus;fjällgås;Art;20911;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;EN;D
100079;57010;Mergellus albellus;salskrake;Art;269071;Brackvatten (B) - Stor betydelse, Skog (S) - Stor betydelse, Sötvatten (L) - Stor betydelse, Marin miljö (M) - Har betydelse, Våtmark (V) - Har betydelse;LC;
102612;57093;Tetrastes bonasia;järpe;Art;60495;Skog (S) - Stor betydelse;LC;
100138;57102;Tetrao urogallus;tjäder;Art;104737;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
102613;57105;Lyrurus tetrix;orre;Art;148447;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
100113;57153;Podiceps auritus;svarthakedopping;Art;202843;Brackvatten (B) - Stor betydelse, Sötvatten (L) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Marin miljö (M) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
100095;57165;Otis tarda;stortrapp;Art;17;Jordbrukslandskap (J) - Stor betydelse;RE;
100065;57219;Grus grus;trana;Art;811707;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse;LC;
100044;57226;Crex crex;kornknarr;Art;45645;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse;EN;C1
100116;57230;Porzana porzana;småfläckig sumphöna;Art;21136;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;D1
103063;57239;Zapornia parva;mindre sumphöna;Art;697;Våtmark (V) - Stor betydelse;NA;
100122;57250;Recurvirostra avosetta;skärfläcka;Art;151619;Brackvatten (B) - Stor betydelse, Havsstrand (H) - Stor betydelse, Marin miljö (M) - Stor betydelse, Sötvatten (L) - Har betydelse, Våtmark (V) - Har betydelse;LC;
100112;57262;Pluvialis apricaria;ljungpipare;Art;282405;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Skog (S) - Har betydelse;LC;
102111;57267;Eudromias morinellus;fjällpipare;Art;13633;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse;LC;
100027;57289;Anarhynchus alexandrinus;svartbent strandpipare;Art;1941;Brackvatten (B) - Stor betydelse, Havsstrand (H) - Stor betydelse, Marin miljö (M) - Stor betydelse;RE;
100075;57305;Limosa lapponica;myrspov;Art;161920;Brackvatten (B) - Stor betydelse, Fjäll (F) - Stor betydelse, Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Marin miljö (M) - Har betydelse, Sötvatten (L) - Har betydelse;VU;D1
100061;57323;Gallinago media;dubbelbeckasin;Art;13197;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse;LC;
102617;57335;Phalaropus lobatus;smalnäbbad simsnäppa;Art;26490;Fjäll (F) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Brackvatten (B) - Har betydelse;VU;A2abc
102616;57341;Tringa glareola;grönbena;Art;429279;Våtmark (V) - Stor betydelse, Brackvatten (B) - Har betydelse, Fjäll (F) - Har betydelse, Havsstrand (H) - Har betydelse, Marin miljö (M) - Har betydelse, Sötvatten (L) - Har betydelse;LC;
100103;57358;Calidris pugnax;brushane;Art;371479;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse, Brackvatten (B) - Har betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse;VU;A2abc
